"Date","Name / Description","Account","Counterparty","Code","Debit/credit","Amount (AUD)","Transaction type","Notifications"
"20250801","WOOLWORTHS SYDNEY CBD 1234","CBA-CHQ-001","","POS","Debit","89,45","Payment terminal","Card sequence no.: 900 01/08/2025 16:30 Transaction: P00051 Term: WOL1234 Apple Pay Value date: 01/08/2025"
"20250801","Bean There Coffee Co.","CBA-CHQ-001","","POS","Debit","6,50","Payment terminal","Card sequence no.: 900 01/08/2025 08:30 Transaction: C00051 Term: BTC001 Apple Pay Value date: 01/08/2025"
"20250802","Hospitality Staff Services","CBA-CHQ-001","AU12HOSP2032567890","CREDIT","Credit","485,75","Transfer","Name: Hospitality Staff Services Description: Weekly wages - The Grounds of Alexandria IBAN: AU12HOSP2032567890 Value date: 02/08/2025"
"20250802","Shell Broadway","CBA-CHQ-001","","POS","Debit","78,90","Payment terminal","Card sequence no.: 900 02/08/2025 17:45 Transaction: D00052 Term: SHL001 Apple Pay Value date: 02/08/2025"
"20250803","The Grounds of Alexandria","CBA-CHQ-001","","POS","Debit","19,80","Payment terminal","Card sequence no.: 900 03/08/2025 11:15 Transaction: W00053 Term: GRD001 Apple Pay Value date: 03/08/2025"
"20250803","COLES BROADWAY 5678","CBA-CHQ-001","","POS","Debit","67,85","Payment terminal","Card sequence no.: 900 03/08/2025 18:45 Transaction: P00054 Term: COL5678 Apple Pay Value date: 03/08/2025"
"20250804","University of Sydney Bookshop","CBA-CHQ-001","","POS","Debit","345,50","Payment terminal","Card sequence no.: 900 04/08/2025 14:20 Transaction: C00055 Term: USB001 Apple Pay Value date: 04/08/2025"
"20250805","AMZN MKTP AU*2K3L4M","CBA-CHQ-001","","ONLINE","Debit","167,99","Online Banking","Card sequence no.: 900 05/08/2025 13:30 Transaction: D00056 Term: AMZ678 Apple Pay Value date: 05/08/2025"
"20250806","The Ivy Sydney","CBA-CHQ-001","","POS","Debit","156,80","Payment terminal","Card sequence no.: 900 06/08/2025 21:45 Transaction: W00057 Term: IVY001 Apple Pay Value date: 06/08/2025"
"20250807","Chemist Warehouse Broadway","CBA-CHQ-001","","POS","Debit","45,60","Payment terminal","Card sequence no.: 900 07/08/2025 15:30 Transaction: P00058 Term: CHW001 Apple Pay Value date: 07/08/2025"
"20250808","Bean There Coffee Co.","CBA-CHQ-001","","POS","Debit","6,50","Payment terminal","Card sequence no.: 900 08/08/2025 08:45 Transaction: C00059 Term: BTC001 Apple Pay Value date: 08/08/2025"
"20250809","Hospitality Staff Services","CBA-CHQ-001","AU12HOSP2032567890","CREDIT","Credit","485,75","Transfer","Name: Hospitality Staff Services Description: Weekly wages - The Grounds of Alexandria IBAN: AU12HOSP2032567890 Value date: 09/08/2025"
"20250810","Services Australia","CBA-CHQ-001","AU23GOVT2032329913","CREDIT","Credit","634,00","Transfer","Name: Services Australia Description: Youth Allowance Payment IBAN: AU23GOVT2032329913 Value date: 10/08/2025"
"20250810","Guzman y Gomez Broadway","CBA-CHQ-001","","POS","Debit","18,90","Payment terminal","Card sequence no.: 900 10/08/2025 13:20 Transaction: D00060 Term: GYG001 Apple Pay Value date: 10/08/2025"
"20250811","WOOLWORTHS BONDI JCN 5678","CBA-CHQ-001","","POS","Debit","56,30","Payment terminal","Card sequence no.: 900 11/08/2025 17:15 Transaction: W00061 Term: WOL5678 Apple Pay Value date: 11/08/2025"
"20250812","The Corner Hotel","CBA-CHQ-001","","POS","Debit","134,90","Payment terminal","Card sequence no.: 900 12/08/2025 22:30 Transaction: P00062 Term: TCH001 Apple Pay Value date: 12/08/2025"
"20250813","IGA Broadway","CBA-CHQ-001","","POS","Debit","34,50","Payment terminal","Card sequence no.: 900 13/08/2025 19:20 Transaction: C00063 Term: IGA001 Apple Pay Value date: 13/08/2025"
"20250814","Shell Broadway","CBA-CHQ-001","","POS","Debit","9,50","Payment terminal","Card sequence no.: 900 14/08/2025 07:30 Transaction: D00064 Term: SHL001 Apple Pay Value date: 14/08/2025"
"20250815","Frankie's Pizza","CBA-CHQ-001","","POS","Debit","98,70","Payment terminal","Card sequence no.: 900 15/08/2025 20:15 Transaction: W00065 Term: FRP001 Apple Pay Value date: 15/08/2025"
"20250816","Hospitality Staff Services","CBA-CHQ-001","AU12HOSP2032567890","CREDIT","Credit","485,75","Transfer","Name: Hospitality Staff Services Description: Weekly wages - The Grounds of Alexandria IBAN: AU12HOSP2032567890 Value date: 16/08/2025"
"20250816","COLES NEWTOWN 3456","CBA-CHQ-001","","POS","Debit","78,95","Payment terminal","Card sequence no.: 900 16/08/2025 16:45 Transaction: P00066 Term: COL3456 Apple Pay Value date: 16/08/2025"
"20250817","The Criterion Hotel","CBA-CHQ-001","","POS","Debit","167,50","Payment terminal","Card sequence no.: 900 17/08/2025 21:00 Transaction: C00067 Term: CRI001 Apple Pay Value date: 17/08/2025"
"20250818","AMZN MKTP AU*8N9O0P","CBA-CHQ-001","","ONLINE","Debit","89,99","Online Banking","Card sequence no.: 900 18/08/2025 11:30 Transaction: D00068 Term: AMZ890 Apple Pay Value date: 18/08/2025"
"20250819","Bean There Coffee Co.","CBA-CHQ-001","","POS","Debit","7,80","Payment terminal","Card sequence no.: 900 19/08/2025 09:15 Transaction: W00069 Term: BTC001 Apple Pay Value date: 19/08/2025"
"20250820","Rebel Sport Sydney","CBA-CHQ-001","","POS","Debit","245,00","Payment terminal","Card sequence no.: 900 20/08/2025 15:30 Transaction: P00070 Term: REB001 Apple Pay Value date: 20/08/2025"
"20250821","WOOLWORTHS NEWTOWN 9876","CBA-CHQ-001","","POS","Debit","67,45","Payment terminal","Card sequence no.: 900 21/08/2025 18:20 Transaction: C00071 Term: WOL9876 Apple Pay Value date: 21/08/2025"
"20250822","The Bucket List","CBA-CHQ-001","","POS","Debit","189,90","Payment terminal","Card sequence no.: 900 22/08/2025 22:15 Transaction: D00072 Term: BKL001 Apple Pay Value date: 22/08/2025"
"20250823","Hospitality Staff Services","CBA-CHQ-001","AU12HOSP2032567890","CREDIT","Credit","485,75","Transfer","Name: Hospitality Staff Services Description: Weekly wages - The Grounds of Alexandria IBAN: AU12HOSP2032567890 Value date: 23/08/2025"
"20250824","Services Australia","CBA-CHQ-001","AU23GOVT2032329913","CREDIT","Credit","634,00","Transfer","Name: Services Australia Description: Youth Allowance Payment IBAN: AU23GOVT2032329913 Value date: 24/08/2025"
"20250824","Chemist Warehouse Broadway","CBA-CHQ-001","","POS","Debit","23,95","Payment terminal","Card sequence no.: 900 24/08/2025 14:45 Transaction: W00073 Term: CHW001 Apple Pay Value date: 24/08/2025"
"20250825","Coffee Bean & Tea Leaf","CBA-CHQ-001","","POS","Debit","8,90","Payment terminal","Card sequence no.: 900 25/08/2025 10:30 Transaction: P00074 Term: CBT001 Apple Pay Value date: 25/08/2025"
"20250826","University Gymnasium","CBA-CHQ-001","AU45USYD2032329913","TRANSFER","Debit","125,00","Transfer","Name: University of Sydney Description: Semester 2 Gym Membership IBAN: AU45USYD2032329913 Value date: 26/08/2025"
"20250827","The Rocks Market","CBA-CHQ-001","","POS","Debit","56,80","Payment terminal","Card sequence no.: 900 27/08/2025 13:45 Transaction: C00075 Term: ROM001 Apple Pay Value date: 27/08/2025"
