Date,Description,Amount,Category,Account
2024-06-01,Online Shopping,-89.99,Shopping,Credit Card EUR
2024-06-02,Restaurant Paris,-45.60,Food & Dining,Credit Card EUR
2024-06-03,Metro Pass,-35.00,Transportation,Credit Card EUR
2024-06-04,Supermarket,-67.34,Groceries,Credit Card EUR
2024-06-05,Hotel Booking,-180.00,Travel,Credit Card EUR
2024-06-06,Airport Coffee,-8.50,Food & Dining,Credit Card EUR
2024-06-07,Taxi Service,-25.75,Transportation,Credit Card EUR
2024-06-08,Museum Ticket,-15.00,Entertainment,Credit Card EUR
2024-06-09,Pharmacy,-23.45,Healthcare,Credit Card EUR
2024-06-10,Clothing Store,-125.99,Shopping,Credit Card EUR
2024-06-11,Fast Food,-12.30,Food & Dining,Credit Card EUR
2024-06-12,Train Ticket,-78.50,Transportation,Credit Card EUR
2024-06-13,Electronics Store,-299.99,Shopping,Credit Card EUR
2024-06-14,Fine Dining,-95.75,Food & Dining,Credit Card EUR
2024-06-15,Bookstore,-34.50,Education,Credit Card EUR
2024-06-16,Gas Station,-52.20,Transportation,Credit Card EUR
2024-06-17,Subscription Service,-9.99,Entertainment,Credit Card EUR
2024-06-18,Grocery Store,-56.78,Groceries,Credit Card EUR
2024-06-19,Coffee Shop,-6.25,Food & Dining,Credit Card EUR
2024-06-20,Department Store,-156.40,Shopping,Credit Card EUR
2024-06-21,Concert Ticket,-85.00,Entertainment,Credit Card EUR
2024-06-22,Parking Fee,-4.50,Transportation,Credit Card EUR
2024-06-23,Lunch Meeting,-32.75,Food & Dining,Credit Card EUR
2024-06-24,Spa Treatment,-120.00,Personal Care,Credit Card EUR
2024-06-25,Wine Shop,-67.50,Food & Dining,Credit Card EUR
2024-06-26,Tech Gadget,-199.99,Shopping,Credit Card EUR
2024-06-27,Public Transport,-15.20,Transportation,Credit Card EUR
2024-06-28,Grocery Shopping,-89.45,Groceries,Credit Card EUR
2024-06-29,Movie Theater,-18.50,Entertainment,Credit Card EUR
2024-06-30,Monthly Fee,-5.00,Fees,Credit Card EUR
2024-07-01,Online Course,-149.00,Education,Credit Card EUR
2024-07-02,Breakfast Cafe,-14.75,Food & Dining,Credit Card EUR
2024-07-03,Clothing Shopping,-234.56,Shopping,Credit Card EUR
2024-07-04,Car Rental,-95.00,Transportation,Credit Card EUR
2024-07-05,Supermarket,-78.90,Groceries,Credit Card EUR
2024-07-06,Software License,-29.99,Business,Credit Card EUR
2024-07-07,Restaurant Lunch,-28.60,Food & Dining,Credit Card EUR
2024-07-08,Fitness Class,-25.00,Health & Fitness,Credit Card EUR
2024-07-09,Bookstore,-45.30,Education,Credit Card EUR
2024-07-10,Grocery Store,-67.89,Groceries,Credit Card EUR
2024-07-11,Streaming Platform,-11.99,Entertainment,Credit Card EUR
2024-07-12,Bus Ticket,-8.75,Transportation,Credit Card EUR
2024-07-13,Office Equipment,-134.50,Business,Credit Card EUR
2024-07-14,Dinner Date,-78.90,Food & Dining,Credit Card EUR
2024-07-15,Fashion Store,-189.99,Shopping,Credit Card EUR
2024-07-16,Morning Coffee,-5.80,Food & Dining,Credit Card EUR
2024-07-17,Home Decor,-99.99,Home Improvement,Credit Card EUR
2024-07-18,Utility Payment,-45.67,Utilities,Credit Card EUR
2024-07-19,Mobile App,-4.99,Entertainment,Credit Card EUR
2024-07-20,Weekend Shopping,-167.34,Shopping,Credit Card EUR 
