Date,Description,Amount,Category,Account
2024-06-01,Salary Deposit,3200.00,Income,Checking USD
2024-06-02,Coffee Bean & Tea Leaf,-4.85,Food & Dining,Checking USD
2024-06-02,Uber Ride,-12.50,Transportation,Checking USD
2024-06-03,Whole Foods Market,-67.34,Groceries,Checking USD
2024-06-04,Netflix Subscription,-15.99,Entertainment,Checking USD
2024-06-05,Shell Gas Station,-42.75,Transportation,Checking USD
2024-06-06,Amazon Purchase,-89.99,Shopping,Checking USD
2024-06-07,Starbucks,-6.45,Food & Dining,Checking USD
2024-06-08,Electric Bill Payment,-124.56,Utilities,Checking USD
2024-06-09,Target Store,-156.78,Shopping,Checking USD
2024-06-10,McDonald's,-8.75,Food & Dining,Checking USD
2024-06-11,ATM Withdrawal,-100.00,Cash,Checking USD
2024-06-12,Spotify Premium,-9.99,Entertainment,Checking USD
2024-06-13,CVS Pharmacy,-23.67,Healthcare,Checking USD
2024-06-14,Trader Joe's,-45.32,Groceries,Checking USD
2024-06-15,Freelance Payment,850.00,Income,Checking USD
2024-06-16,Chipotle,-11.25,Food & Dining,Checking USD
2024-06-17,Home Depot,-234.56,Home Improvement,Checking USD
2024-06-18,Internet Bill,-79.99,Utilities,Checking USD
2024-06-19,Apple App Store,-2.99,Entertainment,Checking USD
2024-06-20,Safeway,-78.45,Groceries,Checking USD
2024-06-21,Movie Theater,-24.50,Entertainment,Checking USD
2024-06-22,Gas Station,-38.75,Transportation,Checking USD
2024-06-23,Restaurant Dinner,-85.60,Food & Dining,Checking USD
2024-06-24,Dentist Visit,-150.00,Healthcare,Checking USD
2024-06-25,Amazon Prime,-14.99,Shopping,Checking USD
2024-06-26,Grocery Store,-92.34,Groceries,Checking USD
2024-06-27,Parking Fee,-5.00,Transportation,Checking USD
2024-06-28,Phone Bill,-65.00,Utilities,Checking USD
2024-06-29,Bookstore,-29.99,Education,Checking USD
2024-06-30,Bank Fee,-12.00,Fees,Checking USD
2024-07-01,Salary Deposit,3200.00,Income,Checking USD
2024-07-02,Morning Coffee,-5.25,Food & Dining,Checking USD
2024-07-03,Costco Purchase,-187.65,Groceries,Checking USD
2024-07-04,Fourth of July Supplies,-56.78,Entertainment,Checking USD
2024-07-05,Gas Station,-44.20,Transportation,Checking USD
2024-07-06,Online Shopping,-123.45,Shopping,Checking USD
2024-07-07,Lunch Restaurant,-18.75,Food & Dining,Checking USD
2024-07-08,Gym Membership,-45.00,Health & Fitness,Checking USD
2024-07-09,Pharmacy,-34.56,Healthcare,Checking USD
2024-07-10,Grocery Shopping,-76.89,Groceries,Checking USD
2024-07-11,Streaming Service,-12.99,Entertainment,Checking USD
2024-07-12,Car Wash,-15.00,Transportation,Checking USD
2024-07-13,Office Supplies,-67.34,Business,Checking USD
2024-07-14,Date Night Dinner,-95.50,Food & Dining,Checking USD
2024-07-15,Freelance Payment,925.00,Income,Checking USD
2024-07-16,Coffee Shop,-4.75,Food & Dining,Checking USD
2024-07-17,Hardware Store,-89.99,Home Improvement,Checking USD
2024-07-18,Water Bill,-45.67,Utilities,Checking USD
2024-07-19,App Purchase,-6.99,Entertainment,Checking USD
2024-07-20,Weekend Groceries,-134.56,Groceries,Checking USD 
