Date,Description,Amount,Category,Account
2024-06-01,Apple Inc Dividend,45.67,Income,Investment EUR
2024-06-05,Microsoft Corp Buy,-500.00,Investment,Investment EUR
2024-06-10,Tesla Inc Dividend,23.45,Income,Investment EUR
2024-06-15,VTSAX Purchase,-300.00,Investment,Investment EUR
2024-06-20,Amazon Dividend,67.89,Income,Investment EUR
2024-06-25,Google Buy,-750.00,Investment,Investment EUR
2024-06-30,Quarterly Interest,89.45,Income,Investment EUR
2024-07-01,Portfolio Rebalance,156.78,Investment,Investment EUR
2024-07-05,Netflix Dividend,34.56,Income,Investment EUR
2024-07-10,Index Fund Purchase,-400.00,Investment,Investment EUR
2024-07-15,AMD Dividend,28.90,Income,Investment EUR
2024-07-20,Bond Interest,45.67,Income,Investment EUR 
